TIME(MS),LIGHT,COMMAND
# first
000410,      1, 1
000560,      1, 0
000560,      3, 1
000680,      3, 0
000680,      5, 1
000767,      5, 0
001220,      5, 1
001400,      5, 0
001760,      5, 1
001920,      5, 0
002720,      2, 1
002760,      2, 0
002840,      2, 1
003000,      2, 0
003123,      2, 1
003280,      2, 0
003400,      4, 1
003520,      4, 0
003660,      2, 1
003730,      2, 0
003800,      6, 1
004000,      6, 0
# second
004770,      1, 1
004900,      1, 0
004900,      3, 1
005050,      3, 0
005050,      5, 1
005230,      5, 0
005580,      5, 1
005760,      5, 0
006120,      5, 1
006280,      5, 0
007080,      2, 1
007120,      2, 0
007200,      2, 1
007360,      2, 0
007483,      2, 1
007640,      2, 0
007760,      4, 1
007880,      4, 0
008020,      2, 1
008160,      2, 0
008160,      6, 1
008360,      6, 0
000000,      0, 0
