TIME(MS),PIN,VALUE
000280,   1,  1
000380,   1,  0
000620,   1,  1
000720,   1,  0
000960,   2,  1
001300,   2,  0
001300,   3,  1
001640,   3,  0
001640,   1,  1
001740,   1,  0
001980,   1,  1
002080,   1,  0
002320,   2,  1
002660,   2,  0
002660,   3,  1
003000,   3,  0
003000,   1,  1
003100,   1,  0
003340,   1,  1
003440,   1,  0
003680,   2,  1
004020,   2,  0
004020,   3,  1
004360,   3,  0
004360,   1,  1
004460,   1,  0
004700,   1,  1
004800,   1,  0
005040,   2,  1
005380,   2,  0
005380,   3,  1
005720,   3,  0
000000,   0,  0

